Book Name,Price,Rating
It's Only the Himalayas,£45.17,Two
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two
Under the Tuscan Sun,£37.33,Three
A Summer In Europe,£44.34,Two
The Great Railway Bazaar,£30.54,One
A Year in Provence (Provence #1),£56.88,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One
Neither Here nor There: Travels in Europe,£38.95,Three
"1,000 Places to See Before You Die",£26.08,Five
